ProductKey,ProductName,SubCategory,Category,StandardCost,Color,ListPrice,DaysToManufacture,ProductLine,ModelName,Photo,ProductDescription,StartDate
1,Adjustable Race,,,,NA,,0,,,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/1.jpg,,6/1/1998
2,Bearing Ball,,,,NA,,0,,,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/2.jpg,,6/1/1998
3,BB Ball Bearing,,,,NA,,1,,,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/3.jpg,,6/1/1998
4,Headset Ball Bearings,,,,NA,,0,,,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/4.jpg,,6/1/1998
5,Blade,,,,NA,,1,,,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/5.jpg,,6/1/1998
6,LL Crankarm,,,,Black,,0,,,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/6.jpg,,6/1/1998
7,ML Crankarm,,,,Black,,0,,,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/7.jpg,,6/1/1998
8,HL Crankarm,,,,Black,,0,,,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/8.jpg,,6/1/1998
9,Chainring Bolts,,,,Silver,,0,,,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/9.jpg,,6/1/1998
10,Chainring Nut,,,,Silver,,0,,,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/10.jpg,,6/1/1998
11,Chainring,,,,Black,,0,,,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/11.jpg,,6/1/1998
12,Crown Race,,,,NA,,0,,,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/12.jpg,,6/1/1998
13,Chain Stays,,,,NA,,1,,,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/13.jpg,,6/1/1998
14,Decal 1,,,,NA,,0,,,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/14.jpg,,6/1/1998
15,Decal 2,,,,NA,,0,,,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/15.jpg,,6/1/1998
16,Down Tube,,,,NA,,1,,,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/16.jpg,,6/1/1998
17,Mountain End Caps,,,,NA,,1,,,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/17.jpg,,6/1/1998
18,Road End Caps,,,,NA,,1,,,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/18.jpg,,6/1/1998
19,Touring End Caps,,,,NA,,1,,,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/19.jpg,,6/1/1998
20,Fork End,,,,NA,,1,,,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/20.jpg,,6/1/1998
21,Freewheel,,,,Silver,,0,,,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/21.jpg,,6/1/1998
22,Flat Washer 1,,,,NA,,0,,,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/22.jpg,,6/1/1998
23,Flat Washer 6,,,,NA,,0,,,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/23.jpg,,6/1/1998
